adres,score_totaal,prioriteit,mogelijk_bevel_tot_afbraak,score_totaal_origineel,score_afbraak_boost,afstand_hemelsbreed_km,afstand_bucket,leegstand_jaren_sinds_eerste_opname,opname_count,kennisgeving_count,samengevoegde_regels,unieke_pnd_ids_count,reg_status_telling,reg_aard_telling,reg_entiteiten,pva_straat,pva_huisnr1,pva_huisnr2,pva_postcode,pnd_district,busnummers,busnummer_count,eerste_opnamedatum,laatste_opnamedatum,shape_areas,shape_lengths,score_afstand,score_ouderdom,score_deduplicaties,score_area,score_length,afbraak_match_count,afbraak_match_type,afbraak_match_reasons,afbraak_omv_nummers,afbraak_statussen,afbraak_datums,afbraak_adres_bron,afbraak_omschrijving,afbraak_bronnen,afbraak_detail_urls,geocode_quality,geocode_formatted_address,lat_wgs84,lon_wgs84,x_lambert72,y_lambert72,objectids,pnd_ids,pva_busnr,pnd_district_code,reg_statussen,reg_aarden,alle_opnamedata,verschillende_velden,afstand_origin_adres,geocode_query,geocode_strategy,geocode_status,geocode_location_type,geocode_error,score_uitleg,bronregels_volledig
"Belgiëlei 7, 2018 Antwerpen",1080.3,A_AFBR,JA,80.3,1000.0,0.990,0-1 km,5.2,4,0,4,4,opname:4,woning:4,1E VERDIEPING LINKS | 2E VERDIEPING LINKS | 6e verdieping links | 6e verdieping rechts,BELGIËLEI,7,,2018,Antwerpen,101 | 201 | 601 | 602,4,2021/05/04 00:00:00+00,2022/06/22 00:00:00+00,857.295562085754,131.606638006451,71.9,82.8,73.2,100.0,97.4,1,mogelijke_match,straat | postcode,OMV_2025062153,,09/06/2026,Belgiëlei 143 te 2018 Antwerpen,"deels slopen en verbouwen van een pand met de functie bedrijvigheid naar de functie gemeenschapsvoorziening, exploiteren van een warmtepomp (",antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/83267669-1c47-46f8-9948-45797dd7de8c,hoog,"Belgiëlei 7, 2018 Antwerpen",51.20857285752263,4.42267305780391,153767.81,210958.26,75251 | 75252 | 75253 | 75254,32166 | 32167 | 32887 | 32888,101,A,opname,woning,2022/06/22 00:00:00+00 | 2021/05/04 00:00:00+00,OBJECTID | pnd_id | reg_entiteit | reg_opnamedatum,"Auwersstraat 66, 2600 Antwerpen","Belgiëlei 7, 2018 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75251,32166,BELGIËLEI,7,,101,A,Antwerpen,2018,1E VERDIEPING LINKS,woning,2022/06/22 00:00:00+00,opname,131.606638006451,857.295562085754 | 75252,32167,BELGIËLEI,7,,201,A,Antwerpen,2018,2E VERDIEPING LINKS,woning,2022/06/22 00:00:00+00,opname,131.606638006451,857.295562085754 | 75253,32887,BELGIËLEI,7,,601,A,Antwerpen,2018,6e verdieping links,woning,2021/05/04 00:00:00+00,opname,131.606638006451,857.295562085754 | 75254,32888,BELGIËLEI,7,,602,A,Antwerpen,2018,6e verdieping rechts,woning,2021/05/04 00:00:00+00,opname,131.606638006451,857.295562085754"
"Lamorinièrestraat 20, 2018 Antwerpen",1075.2,A_AFBR,JA,75.2,1000.0,0.855,0-1 km,7.4,1,0,1,1,opname:1,woning:1,gelijkvloers,LAMORINIÈRESTRAAT,20,,2018,Antwerpen,,0,2019/02/06 00:00:00+00,2019/02/06 00:00:00+00,311.49197532387,111.966007301997,75.2,96.9,31.5,89.8,94.2,1,mogelijke_match,straat | postcode,OMV_2026032518,,11/06/2026,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360,hoog,"Lamorinièrestraat 20, 2018 Antwerpen",51.207438535964194,4.423405646024884,153819.1,210832.1,75368,29828,,A,opname,woning,2019/02/06 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Lamorinièrestraat 20, 2018 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75368,29828,LAMORINIÈRESTRAAT,20,,,A,Antwerpen,2018,gelijkvloers,woning,2019/02/06 00:00:00+00,opname,111.966007301997,311.49197532387"
"Mechelsesteenweg 165, 2018 Antwerpen",1071.3,A_AFBR,JA,71.3,1000.0,1.161,1-2 km,7.2,1,0,1,1,opname:1,gebouw:1,handelsgelijkvloers,MECHELSESTEENWEG,165,,2018,Antwerpen,,0,2019/05/07 00:00:00+00,2019/05/07 00:00:00+00,246.517617727275,82.7073168341632,67.9,95.5,31.5,86.1,88.2,1,mogelijke_match,straat | postcode,OMV_2026032518,,11/06/2026,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360,hoog,"Mechelsesteenweg 165, 2018 Antwerpen",51.20464937050386,4.411238567719989,152968.98,210521.23,75357,30254,,A,opname,gebouw,2019/05/07 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Mechelsesteenweg 165, 2018 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75357,30254,MECHELSESTEENWEG,165,,,A,Antwerpen,2018,handelsgelijkvloers,gebouw,2019/05/07 00:00:00+00,opname,82.7073168341632,246.517617727275"
"Lamorinièrestraat 149, 2018 Antwerpen",1070.2,A_AFBR,JA,70.2,1000.0,0.524,0-1 km,2.6,1,0,1,1,opname:1,woning:1,volledig pand,LAMORINIÈRESTRAAT,149,,2018,Antwerpen,,0,2023/12/01 00:00:00+00,2023/12/01 00:00:00+00,1957.69039337754,246.498648970448,84.0,58.1,31.5,100.0,100.0,1,mogelijke_match,straat | postcode,OMV_2026032518,,11/06/2026,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360,hoog,"Lamorinièrestraat 149, 2018 Antwerpen",51.20313410105705,4.420558144781473,153620.44,210353.07,74937,37453,,A,opname,woning,2023/12/01 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Lamorinièrestraat 149, 2018 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"74937,37453,LAMORINIÈRESTRAAT,149,,,A,Antwerpen,2018,volledig pand,woning,2023/12/01 00:00:00+00,opname,246.498648970448,1957.69039337754"
"Mechelsesteenweg 106, 2018 Antwerpen",1067.2,A_AFBR,JA,67.2,1000.0,1.460,1-2 km,5.7,1,0,1,1,opname:1,gebouw:1,volledig pand,MECHELSESTEENWEG,106,,2018,Antwerpen,,0,2020/10/12 00:00:00+00,2020/10/12 00:00:00+00,252.173162977974,96.03902226067,61.5,86.7,31.5,86.5,91.2,1,mogelijke_match,straat | postcode,OMV_2026032518,,11/06/2026,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360,hoog,"Mechelsesteenweg 106, 2018 Antwerpen",51.20748072433495,4.408977622284306,152810.79,210836.14,75389,32653,,A,opname,gebouw,2020/10/12 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Mechelsesteenweg 106, 2018 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75389,32653,MECHELSESTEENWEG,106,,,A,Antwerpen,2018,volledig pand,gebouw,2020/10/12 00:00:00+00,opname,96.03902226067,252.173162977974"
"Belgiëlei 136, 2018 Antwerpen",1063.4,A_AFBR,JA,63.4,1000.0,0.884,0-1 km,1.7,1,0,1,1,opname:1,woning:1,Appartement 2de verdieping,BELGIËLEI,136,,2018,Antwerpen,201,1,2024/10/24 00:00:00+00,2024/10/24 00:00:00+00,581.175999676134,137.232986652278,74.5,45.0,31.5,99.5,98.2,1,mogelijke_match,straat | postcode,OMV_2025062153,,09/06/2026,Belgiëlei 143 te 2018 Antwerpen,"deels slopen en verbouwen van een pand met de functie bedrijvigheid naar de functie gemeenschapsvoorziening, exploiteren van een warmtepomp (",antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/83267669-1c47-46f8-9948-45797dd7de8c,hoog,"Belgiëlei 136, 2018 Antwerpen",51.20478117547202,4.4160440013566,153304.82,210536.1,75497,39882,201,A,opname,woning,2024/10/24 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Belgiëlei 136, 2018 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75497,39882,BELGIËLEI,136,,201,A,Antwerpen,2018,Appartement 2de verdieping,woning,2024/10/24 00:00:00+00,opname,137.232986652278,581.175999676134"
"Lakborslei 65, 2100 Deurne",1062.5,A_AFBR,JA,62.5,1000.0,3.103,2-5 km,8.2,1,0,1,1,opname:1,gebouw:1,nvt,LAKBORSLEI,65,,2100,Deurne,,0,2018/04/20 00:00:00+00,2018/04/20 00:00:00+00,373.9368656009,116.703909510354,35.5,100.0,31.5,92.6,95.0,1,mogelijke_match,straat | postcode,OMV_2026028826,GOEDGEKEURD,29/05/2026,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3,hoog,"Lakborslei 65, 2100 Antwerpen",51.221585695217364,4.454038578866267,155958.07,212408.07,75302,28583,,D,opname,gebouw,2018/04/20 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Lakborslei 65, 2100 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75302,28583,LAKBORSLEI,65,,,D,Deurne,2100,nvt,gebouw,2018/04/20 00:00:00+00,opname,116.703909510354,373.9368656009"
"Belgiëlei 59, 2018 Antwerpen",1060.4,A_AFBR,JA,60.4,1000.0,0.901,0-1 km,1.3,1,0,1,1,opname:1,woning:1,A6/M,BELGIËLEI,59,,2018,Antwerpen,603,1,2025/02/25 00:00:00+00,2025/02/25 00:00:00+00,378.753988779458,96.0030859739522,74.1,38.8,31.5,92.8,91.2,1,mogelijke_match,straat | postcode,OMV_2025062153,,09/06/2026,Belgiëlei 143 te 2018 Antwerpen,"deels slopen en verbouwen van een pand met de functie bedrijvigheid naar de functie gemeenschapsvoorziening, exploiteren van een warmtepomp (",antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/83267669-1c47-46f8-9948-45797dd7de8c,hoog,"Belgiëlei 59, 2018 Antwerpen",51.20722675639874,4.420474178153465,153614.25,210808.39,75383,39572,603,A,opname,woning,2025/02/25 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Belgiëlei 59, 2018 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_aangeduidDoorBeheerder,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75383,39572,BELGIËLEI,59,,603,A,Antwerpen,2018,A6/M,woning,2025/02/25 00:00:00+00,opname,96.0030859739522,378.753988779458"
"Lakborslei 2, 2100 Deurne",1058.3,A_AFBR,JA,58.3,1000.0,3.055,2-5 km,8.3,1,0,1,1,opname:1,gebouw:1,handelsgelijkvloers,LAKBORSLEI,2,,2100,Deurne,,0,2018/03/06 00:00:00+00,2018/03/06 00:00:00+00,82.1635733965458,42.3086488535698,36.1,100.0,31.5,69.1,75.1,1,mogelijke_match,straat | postcode,OMV_2026028826,GOEDGEKEURD,29/05/2026,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3,hoog,"Lakborslei 2, 2100 Antwerpen",51.22031907563099,4.455354337702602,156050.16,212267.26,74970,28340,,D,opname,gebouw,2018/03/06 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Lakborslei 2, 2100 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"74970,28340,LAKBORSLEI,2,,,D,Deurne,2100,handelsgelijkvloers,gebouw,2018/03/06 00:00:00+00,opname,42.3086488535698,82.1635733965458"
"Scheldestraat 26, 2000 Antwerpen",1057.6,A_AFBR,JA,57.6,1000.0,2.776,2-5 km,4.3,1,0,1,1,opname:1,woning:1,duplex 4+5de verdieping,SCHELDESTRAAT,26,,2000,Antwerpen,401,1,2022/03/09 00:00:00+00,2022/03/09 00:00:00+00,396.562694229198,86.7686097880759,39.6,76.0,31.5,93.5,89.2,1,mogelijke_match,straat | postcode,OMV_2026021192,,29/06/2026,"Graaf van Egmontstraat 2-8, Scheldestraat 38, Vlaamsekaai 1 te 2000 Antwerpen","slopen van de volledige, bestaande bebouwing en oprichten van een meergezinswoning met 10 wooneenheden en 2 commerciële ruimtes en exploiteren van warmtepompen en een bronbemaling in het kader van bouwkundige werken (",antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/3206ad79-0671-4dde-b0bd-890952ffdf44,hoog,"Scheldestraat 26, 2000 Antwerpen",51.21281227256542,4.392046900819749,151627.39,211428.78,75712,28440,401,A,opname,woning,2022/03/09 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Scheldestraat 26, 2000 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75712,28440,SCHELDESTRAAT,26,,401,A,Antwerpen,2000,duplex 4+5de verdieping,woning,2022/03/09 00:00:00+00,opname,86.7686097880759,396.562694229198"
"Nationalestraat 137, 2000 Antwerpen",1057.4,A_AFBR,JA,57.4,1000.0,2.455,2-5 km,4.3,1,0,1,1,opname:1,gebouw:1,gelijkvloers,NATIONALESTRAAT,137,,2000,Antwerpen,,0,2022/03/01 00:00:00+00,2022/03/01 00:00:00+00,172.641336376684,74.6132127193831,44.1,76.2,31.5,80.6,86.2,1,mogelijke_match,straat | postcode,OMV_2025131517,GOEDGEKEURD,05/06/2026,"Groenplaats 44, Nationalestraat 5-5B te 2000 Antwerpen","slopen van een schoolgebouw en de nieuwbouw van een gemengd gebouw met 99 wooneenheden, 6 handelsunits en 1 reca-unit; exploiteren van warmtepompen, lozen van huishoudelijk afvalwater en een bemaling met bijstelling lozingsvoorwaarde (",antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/39e67db2-42a6-45e4-831b-e49cb1f8c0d9,hoog,"Nationalestraat 137, 2000 Antwerpen",51.21329581426643,4.398100107610901,152050.35,211482.73,75719,34791,,A,opname,gebouw,2022/03/01 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Nationalestraat 137, 2000 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75719,34791,NATIONALESTRAAT,137,,,A,Antwerpen,2000,gelijkvloers,gebouw,2022/03/01 00:00:00+00,opname,74.6132127193831,172.641336376684"
"Lakborslei 67, 2100 Deurne",1057.0,A_AFBR,JA,57.0,1000.0,3.108,2-5 km,8.2,1,0,1,1,opname:1,gebouw:1,nvt,LAKBORSLEI,67,,2100,Deurne,,0,2018/04/20 00:00:00+00,2018/04/20 00:00:00+00,53.5365645930943,35.3391996592971,35.5,100.0,31.5,62.5,71.6,1,mogelijke_match,straat | postcode,OMV_2026028826,GOEDGEKEURD,29/05/2026,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3,hoog,"Lakborslei 67, 2100 Antwerpen",51.2216078385098,4.454118345929455,155963.64,212410.54,75007,28584,,D,opname,gebouw,2018/04/20 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Lakborslei 67, 2100 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75007,28584,LAKBORSLEI,67,,,D,Deurne,2100,nvt,gebouw,2018/04/20 00:00:00+00,opname,35.3391996592971,53.5365645930943"
"Mechelsesteenweg 13, 2018 Antwerpen",1052.0,A_AFBR,JA,52.0,1000.0,1.709,1-2 km,1.1,1,0,1,1,opname:1,gebouw:1,gelijkvloers,MECHELSESTEENWEG,13,,2018,Antwerpen,,0,2025/06/12 00:00:00+00,2025/06/12 00:00:00+00,253.548221371054,98.002192921782,56.6,32.8,31.5,86.6,91.6,1,mogelijke_match,straat | postcode,OMV_2026032518,,11/06/2026,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360,hoog,"Mechelsesteenweg 13, 2018 Antwerpen",51.210447161313944,4.408233382163792,152758.6,211166.14,75293,46220,,A,opname,gebouw,2025/06/12 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Mechelsesteenweg 13, 2018 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75293,46220,MECHELSESTEENWEG,13,,,A,Antwerpen,2018,gelijkvloers,gebouw,2025/06/12 00:00:00+00,opname,98.002192921782,253.548221371054"
"Lange Scholiersstraat 114, 2060 Antwerpen",1047.5,A_AFBR,JA,47.5,1000.0,2.779,2-5 km,2.6,1,0,1,1,opname:1,woning:1,volledig pand,LANGE SCHOLIERSSTRAAT,114,,2060,Antwerpen,,0,2023/12/01 00:00:00+00,2023/12/01 00:00:00+00,48.008261039367,31.1034072282425,39.6,58.1,31.5,60.8,69.1,1,mogelijke_match,straat | postcode,OMV_2026019240,GOEDGEKEURD,05/06/2026,Lange Scholiersstraat 71 te 2060 Antwerpen,verbouwen en uitbreiden van een eengezinswoning na het slopen van een deel van het bouwvolume (,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/92989881-7a14-47b2-bf8d-4924ca50512d,hoog,"Lange Scholiersstraat 114, 2060 Antwerpen",51.22474920550476,4.430637680048799,154322.89,212758.39,75846,37337,,A,opname,woning,2023/12/01 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Lange Scholiersstraat 114, 2060 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75846,37337,LANGE SCHOLIERSSTRAAT,114,,,A,Antwerpen,2060,volledig pand,woning,2023/12/01 00:00:00+00,opname,31.1034072282425,48.008261039367"
"Lakborslei 168, 2100 Deurne",1046.6,A_AFBR,JA,46.6,1000.0,3.592,2-5 km,3.1,1,0,1,1,opname:1,gebouw:1,gelijkvloers,LAKBORSLEI,168,,2100,Deurne,,0,2023/06/07 00:00:00+00,2023/06/07 00:00:00+00,72.7539525061853,34.1809371706169,30.2,63.9,31.5,67.2,71.0,1,mogelijke_match,straat | postcode,OMV_2026028826,GOEDGEKEURD,29/05/2026,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3,hoog,"Lakborslei 168, 2100 Antwerpen",51.22670825564081,4.454787542473753,156009.73,212978.04,75047,36608,,D,opname,gebouw,2023/06/07 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Lakborslei 168, 2100 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75047,36608,LAKBORSLEI,168,,,D,Deurne,2100,gelijkvloers,gebouw,2023/06/07 00:00:00+00,opname,34.1809371706169,72.7539525061853"
"Louisalei 65, 2660 Hoboken",1031.3,A_AFBR,JA,31.3,1000.0,6.268,5-10 km,0.5,0,1,1,1,kennisgeving:1,woning:1,volledig pand,LOUISALEI,65,,2660,Hoboken,,0,2026/01/13 00:00:00+00,2026/01/13 00:00:00+00,168.206291121596,66.8592177369766,12.4,17.4,31.5,80.2,84.1,1,mogelijke_match,straat | postcode,OMV_2026009494,GOEDGEKEURD,29/05/2026,Louisalei 48 te 2660 Hoboken (Antwerpen),"doorvoeren van wijzigingen zonder vergunning, slopen van een fietsberging en isoleren van een blinde zijgevel van een eengezinswoning (",antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/483011e1-0b0e-494c-8012-63d40b555121,hoog,"Louisalei 65, 2660 Antwerpen",51.17608972603701,4.344836834423026,148327.2,207343.25,75518,51279,,H,kennisgeving,woning,2026/01/13 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Louisalei 65, 2660 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75518,51279,LOUISALEI,65,,,H,Hoboken,2660,volledig pand,woning,2026/01/13 00:00:00+00,kennisgeving,66.8592177369766,168.206291121596"
"Bosstraat 19, 2040 Bezali",1030.9,A_AFBR,JA,30.9,1000.0,18.007,10+ km,1.5,1,0,1,1,opname:1,woning:1,Huis,BOSSTRAAT,19,,2040,Bezali,,0,2025/01/16 00:00:00+00,2025/01/16 00:00:00+00,84.9122954616187,39.4655996283726,0.2,40.9,31.5,69.6,73.8,1,mogelijke_match,straat | postcode,OMV_2025032939,GEWEIGERD,21/05/2026,Bosstraat 1 te 2040 Berendrecht-Zandvliet-Lillo (Antwerpen),"afbreken van bestaande bebouwing, het bouwen van 18 appartementen met een ondergrondse parkeerkelder, het aanleggen van een wadi en het rooien van bomen; het exploiteren van een tijdelijke bronbemaling en het plaatsen van lucht-waterwarmtepompen (",antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/749e2f73-012b-4b51-bf0c-cd81fb8f4a4e,hoog,"Bosstraat 19, 2040 Antwerpen",51.349063933827324,4.325806999251163,147007.35,226588.35,74884,38414,,Z,opname,woning,2025/01/16 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Bosstraat 19, 2040 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"74884,38414,BOSSTRAAT,19,,,Z,Bezali,2040,Huis,woning,2025/01/16 00:00:00+00,opname,39.4655996283726,84.9122954616187"
"Bosstraat 18, 2040 Bezali",1030.0,A_AFBR,JA,30.0,1000.0,17.928,10+ km,0.7,1,0,1,1,opname:1,woning:1,volledig pand,BOSSTRAAT,18,,2040,Bezali,,0,2025/10/22 00:00:00+00,2025/10/22 00:00:00+00,307.400711137907,72.1620505974914,0.3,24.0,31.5,89.6,85.6,1,mogelijke_match,straat | postcode,OMV_2025032939,GEWEIGERD,21/05/2026,Bosstraat 1 te 2040 Berendrecht-Zandvliet-Lillo (Antwerpen),"afbreken van bestaande bebouwing, het bouwen van 18 appartementen met een ondergrondse parkeerkelder, het aanleggen van een wadi en het rooien van bomen; het exploiteren van een tijdelijke bronbemaling en het plaatsen van lucht-waterwarmtepompen (",antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/749e2f73-012b-4b51-bf0c-cd81fb8f4a4e,hoog,"Bosstraat 18, 2040 Antwerpen",51.34836134617781,4.3260533527318525,147024.47,226510.17,75875,38413,,Z,opname,woning,2025/10/22 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Bosstraat 18, 2040 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75875,38413,BOSSTRAAT,18,,,Z,Bezali,2040,volledig pand,woning,2025/10/22 00:00:00+00,opname,72.1620505974914,307.400711137907"
